year,month,UNRATE,USREC
1997,1,5.3,0
1997,2,5.2,0
1997,3,5.2,0
1997,4,5.1,0
1997,5,4.9,0
1997,6,5.0,0
1997,7,4.9,0
1997,8,4.8,0
1997,9,4.9,0
1997,10,4.7,0
1997,11,4.6,0
1997,12,4.7,0
1998,1,4.6,0
1998,2,4.6,0
1998,3,4.7,0
1998,4,4.3,0
1998,5,4.4,0
1998,6,4.5,0
1998,7,4.5,0
1998,8,4.5,0
1998,9,4.6,0
1998,10,4.5,0
1998,11,4.4,0
1998,12,4.4,0
1999,1,4.3,0
1999,2,4.4,0
1999,3,4.2,0
1999,4,4.3,0
1999,5,4.2,0
1999,6,4.3,0
1999,7,4.3,0
1999,8,4.2,0
1999,9,4.2,0
1999,10,4.1,0
1999,11,4.1,0
1999,12,4.0,0
2000,1,4.0,0
2000,2,4.1,0
2000,3,4.0,0
2000,4,3.8,0
2000,5,4.0,0
2000,6,4.0,0
2000,7,4.0,0
2000,8,4.1,0
2000,9,3.9,0
2000,10,3.9,0
2000,11,3.9,0
2000,12,3.9,0
